Journey_ID,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Planned Journey Duration,Journey Status,Reason for Delay
1,London Paddington,Liverpool Lime Street,2024-01-01,11:00:00,13:30:00,13:30:00,150.0,On Time,
2,London Kings Cross,York,2024-01-01,09:45:00,11:35:00,11:40:00,110.0,Delayed,Signal Failure
3,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,18:15:00,18:45:00,18:45:00,30.0,On Time,
4,London Paddington,Reading,2024-01-01,21:30:00,22:30:00,22:30:00,60.0,On Time,
5,Liverpool Lime Street,London Euston,2024-01-01,16:45:00,19:00:00,19:00:00,135.0,On Time,
6,London Kings Cross,York,2024-01-01,06:15:00,08:05:00,08:05:00,110.0,On Time,
7,London Euston,Oxford,2024-01-01,22:30:00,23:40:00,23:40:00,70.0,On Time,
8,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,00:00:00,00:30:00,00:30:00,30.0,On Time,
9,London Euston,York,2024-01-01,00:00:00,01:50:00,02:07:00,110.0,Delayed,Signal Failure
10,London Paddington,Reading,2024-01-01,01:30:00,02:30:00,02:30:00,60.0,On Time,
11,York,Durham,2024-01-01,01:45:00,02:35:00,02:35:00,50.0,On Time,
12,London Paddington,Reading,2024-01-01,02:15:00,03:15:00,03:15:00,60.0,On Time,
13,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,04:15:00,04:45:00,04:45:00,30.0,On Time,
14,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,05:00:00,05:30:00,05:30:00,30.0,On Time,
15,Birmingham New Street,London St Pancras,2024-01-01,06:30:00,07:50:00,07:50:00,80.0,On Time,
16,London Paddington,Reading,2024-01-01,07:45:00,08:45:00,08:45:00,60.0,On Time,
17,London St Pancras,Birmingham New Street,2024-01-01,07:30:00,08:50:00,08:50:00,80.0,On Time,
18,London Kings Cross,York,2024-01-01,07:30:00,09:20:00,09:20:00,110.0,On Time,
19,London Kings Cross,York,2024-01-01,09:00:00,10:50:00,10:50:00,110.0,On Time,
20,Birmingham New Street,Manchester Piccadilly,2024-01-01,11:15:00,12:35:00,13:06:00,80.0,Delayed,Technical Issue
21,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,10:30:00,11:00:00,11:00:00,30.0,On Time,
22,London Kings Cross,York,2024-01-01,09:30:00,11:20:00,11:20:00,110.0,On Time,
23,London Euston,Birmingham New Street,2024-01-01,12:45:00,14:05:00,14:05:00,80.0,On Time,
24,London Euston,Birmingham New Street,2024-01-01,13:15:00,14:35:00,14:35:00,80.0,On Time,
25,Manchester Piccadilly,London Paddington,2024-01-01,13:45:00,16:00:00,16:00:00,135.0,On Time,
26,Oxford,Bristol Temple Meads,2024-01-01,14:15:00,15:30:00,15:54:00,75.0,Delayed,Signal Failure
27,London Paddington,Reading,2024-01-01,15:00:00,16:00:00,16:00:00,60.0,On Time,
28,London Euston,Birmingham New Street,2024-01-01,16:30:00,17:50:00,17:50:00,80.0,On Time,
29,London Kings Cross,York,2024-01-01,17:00:00,18:50:00,18:50:00,110.0,On Time,
30,London St Pancras,Birmingham New Street,2024-01-01,17:45:00,19:05:00,19:05:00,80.0,On Time,
31,London Paddington,Reading,2024-01-01,18:15:00,19:15:00,19:15:00,60.0,On Time,
32,London Kings Cross,York,2024-01-01,17:45:00,19:35:00,19:35:00,110.0,On Time,
33,Birmingham New Street,Tamworth,2024-01-01,18:45:00,19:05:00,19:05:00,20.0,On Time,
34,London Euston,Birmingham New Street,2024-01-01,23:30:00,00:50:00,00:50:00,80.0,On Time,
35,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,02:45:00,03:15:00,03:15:00,30.0,On Time,
36,London St Pancras,Birmingham New Street,2024-01-01,04:30:00,05:50:00,05:50:00,80.0,On Time,
37,Birmingham New Street,London St Pancras,2024-01-01,04:30:00,05:50:00,05:50:00,80.0,On Time,
38,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,05:00:00,05:30:00,05:30:00,30.0,On Time,
39,London Euston,Birmingham New Street,2024-01-02,02:15:00,03:35:00,,80.0,Cancelled,Technical Issue
40,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,05:30:00,06:00:00,06:00:00,30.0,On Time,
41,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,06:00:00,06:30:00,06:30:00,30.0,On Time,
42,London Kings Cross,York,2024-01-01,06:30:00,08:20:00,08:20:00,110.0,On Time,
43,London St Pancras,Birmingham New Street,2024-01-01,06:30:00,07:50:00,07:50:00,80.0,On Time,
44,Manchester Piccadilly,London Euston,2024-01-02,03:30:00,05:20:00,05:31:00,110.0,Delayed,Weather
45,London Kings Cross,York,2024-01-01,06:45:00,08:35:00,08:35:00,110.0,On Time,
46,London Paddington,London Waterloo,2024-01-01,07:30:00,09:00:00,09:00:00,90.0,On Time,
47,London Kings Cross,York,2024-01-01,07:45:00,09:35:00,09:35:00,110.0,On Time,
48,Liverpool Lime Street,London Euston,2024-01-01,08:00:00,10:15:00,10:39:00,135.0,Delayed,Weather
49,London St Pancras,Birmingham New Street,2024-01-01,08:00:00,09:20:00,09:20:00,80.0,On Time,
50,Manchester Piccadilly,Sheffield,2024-01-01,08:15:00,09:00:00,09:00:00,45.0,On Time,
51,London Paddington,Reading,2024-01-01,08:45:00,09:45:00,09:45:00,60.0,On Time,
52,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,09:15:00,09:45:00,09:45:00,30.0,On Time,
53,Birmingham New Street,London St Pancras,2024-01-02,06:30:00,07:50:00,07:50:00,80.0,On Time,
54,London St Pancras,Wolverhampton,2024-01-02,06:30:00,08:00:00,08:00:00,90.0,On Time,
55,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,07:45:00,08:15:00,08:15:00,30.0,On Time,
56,London Euston,Birmingham New Street,2024-01-01,09:45:00,11:05:00,11:05:00,80.0,On Time,
57,Manchester Piccadilly,London Euston,2024-01-02,08:00:00,09:50:00,10:08:00,110.0,Delayed,Weather
58,London Kings Cross,York,2024-01-01,11:45:00,13:35:00,13:35:00,110.0,On Time,
59,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,13:15:00,13:45:00,13:45:00,30.0,On Time,
60,London St Pancras,Birmingham New Street,2024-01-01,14:15:00,15:35:00,15:35:00,80.0,On Time,
61,London Paddington,Reading,2024-01-01,15:30:00,16:30:00,16:30:00,60.0,On Time,
62,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,16:00:00,16:30:00,16:30:00,30.0,On Time,
63,London Euston,Birmingham New Street,2024-01-01,16:00:00,17:20:00,17:20:00,80.0,On Time,
64,Liverpool Lime Street,London Euston,2024-01-01,17:00:00,19:15:00,19:15:00,135.0,On Time,
65,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,17:15:00,17:45:00,17:45:00,30.0,On Time,
66,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,17:45:00,18:15:00,18:15:00,30.0,On Time,
67,London St Pancras,Birmingham New Street,2024-01-02,15:00:00,16:20:00,16:20:00,80.0,On Time,
68,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,18:30:00,19:00:00,19:00:00,30.0,On Time,
69,London St Pancras,Birmingham New Street,2024-01-02,15:30:00,16:50:00,16:50:00,80.0,On Time,
70,London St Pancras,Birmingham New Street,2024-01-01,18:45:00,20:05:00,20:05:00,80.0,On Time,
71,London Euston,Birmingham New Street,2024-01-02,16:00:00,17:20:00,,80.0,Cancelled,Technical Issue
72,London St Pancras,Birmingham New Street,2024-01-02,17:00:00,18:20:00,18:20:00,80.0,On Time,
73,London St Pancras,Birmingham New Street,2024-01-02,17:45:00,19:05:00,19:05:00,80.0,On Time,
74,London St Pancras,Birmingham New Street,2024-01-02,18:00:00,19:20:00,19:20:00,80.0,On Time,
75,London St Pancras,Birmingham New Street,2024-01-02,18:45:00,20:05:00,20:05:00,80.0,On Time,
76,London Kings Cross,York,2024-01-02,17:45:00,19:35:00,19:35:00,110.0,On Time,
77,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,19:15:00,19:45:00,19:45:00,30.0,On Time,
