Transaction ID,Journey_ID,Ticket_ID,Refund_ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Price,Price Category,Actual Journey Duration,Delay (Minutes)
da8a6ba8-b3dc-4677-b176,1,1,1,2023-12-08,12:41:11,Online,Contactless,Adult,43,Medium,150.0,0.0
b0cdd1b0-f214-4197-be53,2,1,1,2023-12-16,11:23:01,Station,Credit Card,Adult,23,Medium,115.0,5.0
f3ba7a96-f713-40d9-9629,3,1,1,2023-12-19,19:51:27,Online,Credit Card,No Railcard,3,Low,30.0,0.0
b2471f11-4fe7-4c87-8ab4,4,1,1,2023-12-20,23:00:36,Station,Credit Card,No Railcard,13,Low,60.0,0.0
2be00b45-0762-485e-a7a3,5,1,1,2023-12-27,18:22:56,Online,Contactless,No Railcard,76,High,135.0,0.0
4e1dcd88-3d95-44ef-99fa,6,1,1,2023-12-30,07:56:06,Online,Credit Card,No Railcard,35,Medium,110.0,0.0
1c74479d-85a4-4ba1-a607,7,1,1,2023-12-31,00:02:01,Station,Credit Card,Adult,2,Low,70.0,0.0
febf8dab-f808-46fa-bf2b,8,1,1,2023-12-31,01:35:18,Station,Contactless,Disabled,2,Low,30.0,0.0
01df916f-4291-41ec-a37d,9,1,1,2023-12-31,01:43:09,Station,Credit Card,No Railcard,37,Medium,127.0,17.0
a8cedba7-1923-459d-b046,10,1,1,2023-12-31,03:05:52,Online,Credit Card,No Railcard,13,Low,60.0,0.0
b3e5ca7d-e76c-49f2-b49f,11,1,1,2023-12-31,03:26:37,Online,Contactless,No Railcard,8,Low,50.0,0.0
6c63f7ac-d590-4356-9eaa,12,1,1,2023-12-31,03:52:11,Online,Contactless,Adult,8,Low,60.0,0.0
2e7add75-566a-41aa-9468,13,1,1,2023-12-31,05:55:22,Online,Contactless,No Railcard,3,Low,30.0,0.0
7ed9b545-eb6f-49b2-9b5a,14,1,1,2023-12-31,06:44:35,Online,Contactless,No Railcard,3,Low,30.0,0.0
2e05e2a6-88a8-40fb-bacc,15,1,1,2023-12-31,08:05:50,Online,Credit Card,Disabled,15,Low,80.0,0.0
8a18d3b4-995e-49bf-93a3,16,1,1,2023-12-31,08:16:53,Online,Credit Card,No Railcard,13,Low,60.0,0.0
7493a611-342a-4b17-90dc,16,1,1,2023-12-31,08:23:15,Online,Credit Card,No Railcard,13,Low,60.0,0.0
054676ac-a976-4909-a26e,17,1,1,2023-12-31,09:09:20,Online,Credit Card,No Railcard,8,Low,80.0,0.0
